Time;Type;CurrentPose;TargetPose;Result
Sat Sep 29 14:52:33 2018;drop_pose;(0.531277648926,0.0476650980323,0.210408153345)/(-0.00126482726387,0.00658833078017,0.0030347317855,0.999972891889);(0.607795834541,0.306697994471,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:52:57 2018;grasp_pose;(0.228732614424,-0.0450530131256,0.17380845864)/(-0.00103325564757,0.000211650507224,0.00303813328074,0.999994828653);(0.30361020565,0.214725270867,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:00 2018;post_grasp;(0.228870416019,-0.0451651454668,0.30354039958)/(-0.00119765852755,-0.00151243374907,0.000393501359039,0.999998061656);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:53:06 2018;drop_pose;(0.406912281697,0.227966926006,0.213028008068)/(-0.000519431879667,0.000527148625849,0.00585035822894,0.999982612656);(0.482397943735,0.485821962357,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:31 2018;grasp_pose;(0.196950825235,0.176919401024,0.173463516019)/(0.000917402750515,0.000349348732495,0.00386354830474,0.99999205463);(0.271808594465,0.436591237783,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:33 2018;post_grasp;(0.197101353603,0.1770035338,0.303757687614)/(0.00421214954795,-0.00143276492043,0.00383177172022,0.999982761105);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:53:39 2018;drop_pose;(0.544081021922,0.119623886094,0.212318314309)/(-0.000861987271683,0.000329784971413,-0.00298566902991,0.999995116988);(0.619042575359,0.380233079195,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:55 2018;grasp_pose;(0.263478939774,-0.249144495737,0.17311240912)/(0.00438804491613,0.00390377222329,0.000734956642719,0.999982482578);(0.339523106813,0.00875856634229,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:53:57 2018;post_grasp;(0.263586267851,-0.249233242829,0.30302440434)/(0.00346176096177,0.00227622735403,-0.000873345885791,0.999991036093);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:54:03 2018;drop_pose;(0.240295934947,0.0472361000009,0.214221697578)/(0.000186252646292,0.00407934281577,0.00226047940296,0.999989107193);(0.316025584936,0.306245207787,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:54:25 2018;grasp_pose;(0.29264805491,-0.113379427167,0.174066681753)/(-0.00139535622,-0.000210017662672,0.000416000510038,0.999998917908);(0.368021190166,0.146413639188,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:54:36 2018;post_grasp;(0.29191072274,-0.11322099104,0.304104761581)/(8.52649210175e-05,-0.000293574362948,0.00143733522777,0.999998920305);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:54:41 2018;drop_pose;(0.417935450946,-0.0265855963316,0.213424458746)/(-9.56565980219e-05,0.0010965003807,0.00585656569647,0.99998224443);(0.491948902607,0.232590943575,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:55:00 2018;grasp_pose;(0.238225729899,0.0932520812044,0.173796064596)/(0.000833862656902,-0.000269414465657,0.00299326543111,0.999995136214);(0.31282222271,0.353710174561,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:55:02 2018;post_grasp;(0.238331392642,0.0931452112408,0.30435753915)/(0.00201914930083,-0.0030412378204,0.00472494492619,0.999982174243);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:55:09 2018;drop_pose;(0.535141298793,-0.183979099321,0.212022483262)/(0.000264185193557,0.000612390294868,-0.00355884387124,0.999993444886);(0.610415458679,0.0763693228364,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:55:23 2018;grasp_pose;(0.322453427818,0.293514728135,0.173121423506)/(-0.000583895795741,0.00149717579385,0.00202935914191,0.99999664961);(0.398070216179,0.553439199924,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:55:25 2018;post_grasp;(0.322477034386,0.293550970542,0.302660693765)/(0.000325129890186,-0.0016435139731,0.0028618111157,0.99999450158);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:55:31 2018;drop_pose;(0.316854047336,-0.0342424368004,0.213382543799)/(0.00246951059438,0.00536555641869,-0.00739211694544,0.999955233462);(0.392775297165,0.226949006319,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:55:47 2018;grasp_pose;(0.404718263516,-0.0491076840329,0.173065652869)/(8.34416516255e-05,0.00595222912692,0.000828978019099,0.999981938238);(0.480725646019,0.210463926196,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:55:49 2018;post_grasp;(0.404921158148,-0.0493679775646,0.303157832499)/(-1.41802871447e-05,0.00374840779251,0.00073600626832,0.99999270374);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:55:55 2018;drop_pose;(0.337271001234,0.274011352656,0.213225157726)/(-0.00231286620212,0.00167139706675,0.00606718331996,0.999977522932);(0.413475751877,0.533215582371,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:56:10 2018;grasp_pose;(0.524825563963,0.191588141537,0.170712387846)/(-0.00276763626112,0.00124908545561,0.000650026937153,0.999995178708);(0.601815998554,0.450652956963,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:56:12 2018;post_grasp;(0.524877105766,0.191765598344,0.300048967514)/(-0.00140815119209,0.000182354504679,-0.00174537105745,0.999997468765);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:56:18 2018;drop_pose;(0.344959150312,0.045958596499,0.213175112822)/(-0.000168216697855,0.00639298484617,-0.000535094971928,0.999979407349);(0.421202927828,0.305921673775,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:56:34 2018;grasp_pose;(0.459023426579,0.0469991089036,0.172445544936)/(0.00037442572703,0.00501775728203,-0.00321209662342,0.999982182018);(0.535314798355,0.307530671358,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:56:36 2018;post_grasp;(0.458989874543,0.04661559704,0.302514218236)/(-0.00128758865428,0.00493231579612,0.000461343041862,0.999986900684);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:56:41 2018;drop_pose;(0.38167035695,0.0049378247587,0.213563149993)/(-0.000450422702368,0.00501038040756,-0.00104867585509,0.999986796656);(0.457229912281,0.265084207058,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:56:52 2018;grasp_pose;(0.458404904674,0.0537675904672,0.171396615488)/(0.000242824706443,0.00714821193131,-0.000947613887774,0.999973972726);(0.535291731358,0.314433306456,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:56:54 2018;post_grasp;(0.458301586302,0.0536130181983,0.300159967571)/(-0.000367536643437,0.00739370846288,0.000545143917831,0.999972450026);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:56:59 2018;drop_pose;(0.410047424182,-0.0373006121263,0.213120871567)/(0.000664098734641,0.00410299031568,-0.00497886810897,0.999978967437);(0.485971152782,0.223093062639,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:57:11 2018;grasp_pose;(0.505319150701,0.0501821172544,0.171866579224)/(0.000411325846231,0.00604449070412,-0.000151502598999,0.999981635826);(0.581652879715,0.309691399336,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:57:13 2018;post_grasp;(0.505297400818,0.0502641946641,0.301641615897)/(2.3793628103e-05,0.00440706393277,0.000774524036895,0.999989988617);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:57:18 2018;drop_pose;(0.601883413863,-0.158996052928,0.211817007307)/(-0.000263970000915,0.00078866012669,-0.00356521992713,0.999993298749);(0.676728785038,0.101678267121,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:57:29 2018;grasp_pose;(0.260195431772,0.316897736586,0.172988308367)/(-0.00415304124119,0.00268295443466,0.00496948788689,0.999975428795);(0.336150795221,0.576948642731,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:57:31 2018;post_grasp;(0.260177615981,0.31686392928,0.30217783631)/(-0.00261524968637,0.00146936556403,0.00499722053839,0.999983014466);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:57:37 2018;drop_pose;(0.46117561233,-0.0774440657165,0.212513192746)/(0.000415072489586,0.00299118640206,-0.00641407141126,0.999974869788);(0.536987304688,0.183651357889,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:57:48 2018;grasp_pose;(0.267415837772,0.00346283203198,0.173688481653)/(0.00299249125997,0.00215829229255,-0.00405461904808,0.999984973305);(0.342487186193,0.262970477343,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:58:00 2018;post_grasp;(0.266859576257,0.00365691870533,0.303429937177)/(0.0043348926701,0.00258175473977,-0.00564160778179,0.999971357345);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:58:07 2018;drop_pose;(0.518427881131,0.258256467806,0.211647252633)/(0.000153839494775,0.000824589048289,0.000759381751822,0.999999359863);(0.593390524387,0.517784893513,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:58:29 2018;grasp_pose;(0.215415998756,-0.0458970349405,0.174302983736)/(0.00115009540467,-0.00115901592881,-0.00212581680925,0.999996407426);(0.289781659842,0.213735178113,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:58:31 2018;post_grasp;(0.215795790934,-0.0457623264946,0.304401352578)/(0.00144206996072,-0.00500958853254,-0.00194343522392,0.999984523638);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:58:37 2018;drop_pose;(0.225265771131,-0.225858973125,0.213816337728)/(0.00174425027046,0.00171269576192,-0.00537611455238,0.999982560676);(0.301121175289,0.0343000516295,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:58:48 2018;grasp_pose;(0.540806077594,0.0341357306129,0.17069112882)/(0.000352229372919,0.00479427550869,0.00018772874014,0.99998842774);(0.617064356804,0.294197708368,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:58:50 2018;post_grasp;(0.541105163373,0.0340307435972,0.301032789592)/(0.000887336835039,0.0016403874342,0.000158182214699,0.999998248369);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:58:55 2018;drop_pose;(0.504266887968,0.251432695766,0.211039813637)/(-0.00356350647542,0.00515334924471,0.00688648985927,0.999956659396);(0.580681025982,0.510421693325,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:59:17 2018;grasp_pose;(0.230792262069,-0.191397523873,0.173591227375)/(-0.00132916024799,-0.000558014023771,-0.00354041132516,0.999992693694);(0.305379629135,0.0692484229803,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:59:19 2018;post_grasp;(0.230876203038,-0.191776133327,0.303275501654)/(-0.00382742932128,-0.00215027874749,-0.00439952848546,0.999980685431);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:59:25 2018;drop_pose;(0.405137010985,-0.0846910691657,0.21275835076)/(-1.29262614832e-05,0.00162224925181,0.00843664004538,0.999963094942);(0.479924738407,0.173672869802,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:59:48 2018;grasp_pose;(0.183143130715,0.0562211746668,0.17373596334)/(0.000403756915621,0.00414642025402,0.00162807116665,0.999989996732);(0.257914304733,0.316521257162,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:59:51 2018;post_grasp;(0.183364213297,0.0565240183936,0.303740375309)/(-7.65035896222e-05,0.00435386928312,0.00554520541143,0.999975144024);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:55:31 2018;grasp_pose;(0.324554214577,0.168381990708,0.173504046775)/(-0.00410675336412,0.00314684898628,0.00162720468282,0.999985291953);(0.399931788445,0.428935170174,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:55:44 2018;post_grasp;(0.325770032709,0.166964034973,0.303745907957)/(-0.00320752881125,0.00245812297442,-0.000391425005135,0.999991758054);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:55:51 2018;drop_pose;(0.620202950105,0.207642328467,0.210245141731)/(0.000161396112563,0.000978845479501,-0.000521437674854,0.999999371958);(0.695396840572,0.467409819365,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:56:03 2018;grasp_pose;(0.482192331749,0.165892692179,0.171677183288)/(-0.00304682141076,0.00453823919489,0.00279167208025,0.999981163738);(0.558220624924,0.425752401352,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:56:05 2018;post_grasp;(0.482117177887,0.165790051795,0.30258967922)/(-0.00300826777929,0.00246425005934,0.0044197344882,0.999982671722);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:56:12 2018;drop_pose;(0.27293880265,-0.0160148138528,0.214206189941)/(-0.0012964362027,0.00480363798875,-0.00290423011907,0.999983404744);(0.349546402693,0.244411364198,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:56:23 2018;grasp_pose;(0.298764408652,0.213998201651,0.172678072384)/(-0.003655307276,0.00464461091438,0.00115862323115,0.999981861791);(0.374972313643,0.474770575762,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:56:26 2018;post_grasp;(0.298751198711,0.213934305659,0.302638416544)/(-0.00107657745256,0.00191848932219,0.00102317560019,0.999997056741);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:56:31 2018;drop_pose;(0.250010083321,0.123576920139,0.213772058425)/(-0.003349301669,0.00420323150616,-0.000519701434464,0.999985422361);(0.3258869946,0.384014576674,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:56:51 2018;grasp_pose;(0.255711812225,-0.0547702260661,0.173971046321)/(-9.06425221587e-05,0.0016689705094,-0.00153034966134,0.999997432172);(0.331168085337,0.204882606864,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:56:54 2018;post_grasp;(0.255884704324,-0.0546810718763,0.304031180416)/(-0.000437523790742,-4.3854356701e-05,-0.00430736139217,0.9999906266);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:56:59 2018;drop_pose;(0.363963325421,-0.0161501451652,0.21333443163)/(2.21834268746e-05,0.00120881938943,0.00368486852417,0.999992479975);(0.438336074352,0.242999568582,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:57:15 2018;grasp_pose;(0.320990654232,-0.142496917158,0.173218609224)/(0.000795420073077,0.0039253365482,-0.00269059512959,0.999988359801);(0.396845519543,0.117445833981,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:57:17 2018;post_grasp;(0.32131747194,-0.142481417288,0.303584873925)/(9.29088054564e-05,0.00150202427816,-0.000846467729546,0.999998509391);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:57:32 2018;drop_pose;(0.190062827372,0.198518218928,0.213926102817)/(0.00037578469892,-0.00189623339315,0.000534918199299,0.999997988472);(0.26364415884,0.459207653999,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:58:00 2018;grasp_pose;(0.26574683069,0.227582020769,0.173614525212)/(-0.00190162231369,0.00218606688076,0.00387874578139,0.999988280069);(0.341156721115,0.488133400679,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:58:02 2018;post_grasp;(0.265976729188,0.227848239024,0.304053620904)/(0.000646744853374,-0.000356711857899,0.00348353041023,0.999993659727);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:58:08 2018;drop_pose;(0.319096176044,-0.0338466369285,0.213380678875)/(-4.26304500182e-05,0.0057012472672,-0.00507505523967,0.999970868464);(0.39505892992,0.228225558996,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:58:27 2018;grasp_pose;(0.308599855607,-0.0906707868826,0.173150648993)/(0.000131503347898,-0.00258603358788,-0.00240222439653,0.999993762208);(0.38319709897,0.170964881778,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:58:33 2018;post_grasp;(0.308417128942,-0.0902496024382,0.302852961592)/(0.000620188876213,-0.00320458527579,-0.0084577203651,0.999958905638);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:58:38 2018;drop_pose;(0.28706259149,-0.206953584202,0.21315267898)/(0.00157862846176,0.00357144387282,-0.00400809229253,0.999984343836);(0.363514363766,0.0541955493391,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:58:54 2018;grasp_pose;(0.583742487337,0.251551488027,0.169639302438)/(-2.33881666052e-05,0.00754427084392,-0.00744428458962,0.999943831451);(0.659573435783,0.512642621994,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:58:56 2018;post_grasp;(0.583693225967,0.252191060183,0.300406914387)/(0.000713008434742,0.00590498278549,-0.00786623106855,0.999951371421);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:59:11 2018;drop_pose;(0.207441394826,-0.244596580097,0.21330269665)/(0.00319632879799,0.00185066861255,-0.00736121685164,0.999966084922);(0.282597571611,0.0155092813075,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:59:26 2018;grasp_pose;(0.607369554516,-0.135970244462,0.168996215572)/(0.00374721638741,0.00555789645777,-0.00118961930176,0.999976826213);(0.683830618858,0.122643209994,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:59:28 2018;post_grasp;(0.607384117517,-0.135931949635,0.299303960196)/(0.00215355048402,0.00616270642275,0.00252287624414,0.999975508883);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 10:59:34 2018;drop_pose;(0.410342190364,0.023738944904,0.211692350162)/(-0.00200033417179,0.00913156901952,0.000740945937299,0.999956031088);(0.487559556961,0.284110963345,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:59:45 2018;grasp_pose;(0.193513480015,0.243753968329,0.173910216849)/(-0.00245493447004,0.00299396248856,0.00298143507813,0.999988060194);(0.269610643387,0.503317713737,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 10:59:56 2018;post_grasp;(0.19332281965,0.243516909159,0.303721370312)/(-0.00430161976707,0.00485963293521,0.00489545066404,0.999966956753);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 11:00:02 2018;drop_pose;(0.482198315303,0.164073782849,0.211948225411)/(-0.000140560696311,0.000468084628926,-0.0065891790883,0.999978171691);(0.555964291096,0.425373673439,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:00:13 2018;grasp_pose;(0.296176458967,0.00797929392875,0.173324122644)/(0.000450221811807,0.00575124612864,-0.00177731813245,0.999981780638);(0.372075676918,0.267555117607,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:00:25 2018;post_grasp;(0.295788496614,0.00586112565658,0.303175161787)/(0.000679774055552,0.0089008189729,-0.00327289335406,0.999954799727);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 11:00:31 2018;drop_pose;(0.417606593873,-0.179415949374,0.212993611128)/(-0.000242696736126,-6.18703623256e-05,-0.00670176417951,0.999977511561);(0.492304891348,0.0820438116789,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:00:41 2018;grasp_pose;(0.537463183632,0.0345139759195,0.171137617082)/(0.000320796950793,0.00511444984612,-0.000816976750982,0.99998653593);(0.613430082798,0.294284671545,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:00:43 2018;post_grasp;(0.537735209922,0.0344185064688,0.301637884186)/(0.000351472091348,0.00296512928061,7.15132766868e-05,0.999995539671);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 11:00:48 2018;drop_pose;(0.608371834976,0.0309033563994,0.211730991585)/(-5.45684062565e-05,0.00101951548206,-0.000462849526065,0.99999937169);(0.683478951454,0.290569454432,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:01:08 2018;grasp_pose;(0.179875972,0.0893384857877,0.174572551009)/(-0.000423814873391,-0.000667751906078,-0.00255144915526,0.999996432291);(0.254898518324,0.349544137716,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:01:11 2018;post_grasp;(0.180059541761,0.0893345638644,0.304708864837)/(0.000282715902138,-0.00254906512335,-0.0050147144415,0.999984137363);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 11:01:17 2018;drop_pose;(0.376664416905,-0.204259934001,0.213661835564)/(-0.000146047442521,2.07447349203e-06,-0.00667893470272,0.999977685);(0.451940506697,0.0576201975346,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:01:34 2018;grasp_pose;(0.253423379914,0.253957467196,0.173917248952)/(-6.29340240703e-05,0.000723254176842,-0.000581517235449,0.99999956739);(0.32876098156,0.514045238495,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:01:46 2018;post_grasp;(0.253116753125,0.253605677538,0.303665314656)/(-0.00193480631185,0.00304889044116,0.00182597924095,0.999991813262);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 11:01:51 2018;drop_pose;(0.258996863657,0.216715208538,0.213486861303)/(-0.00275482192846,0.00232916682246,-0.00349211418713,0.999987395459);(0.334199011326,0.477128148079,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:02:02 2018;grasp_pose;(0.532504605895,-0.0914022084511,0.171022234017)/(0.00221047206597,0.0049812475253,-0.00200516124932,0.999983140015);(0.608761906624,0.168087899685,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:02:04 2018;post_grasp;(0.532607491154,-0.0910350270292,0.301781943007)/(0.00273910181295,0.000624672221433,-0.00322198367032,0.999990862922);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 11:02:17 2018;drop_pose;(0.278742493605,0.282112055456,0.212674191103)/(-0.00443999808996,0.00445403264029,0.00281606567059,0.99997625861);(0.35425144434,0.543354809284,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:02:36 2018;grasp_pose;(0.53316828662,0.265824327904,0.170841189311)/(-0.0010417421506,0.00578360597145,-0.00236608457591,0.999979932958);(0.610659241676,0.523444414139,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:02:38 2018;post_grasp;(0.533195104837,0.265711767369,0.301423337182)/(0.000131253810085,0.00366925205374,-0.00303678046448,0.999988648599);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sun Sep 30 11:02:43 2018;drop_pose;(0.561720764257,0.114142453164,0.210217052723)/(-0.000793664972288,0.0083576723564,-0.0052725873343,0.999950858408);(0.637794315815,0.376345902681,0.265)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:02:58 2018;grasp_pose;(0.202257677261,0.215488441071,0.173615156911)/(-0.00377178455091,0.00156452552386,0.00239082813194,0.999988804858);(0.278008311987,0.475528985262,0.225)/(0.0,0.0,0.0,1.0);success
Sun Sep 30 11:03:00 2018;post_grasp;(0.202282701557,0.215536596563,0.30371763796)/(-0.00245328620306,0.000754314150897,0.00489326676981,0.999984734052);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
